Product Name,Feature Description,Selling Price (₹),Original Price (₹),Images URL,Product Video URL,Feature 1 Label,Feature 1 Value,Feature 2 Label,Feature 2 Value,Feature 3 Label,Feature 3 Value,Feature 4 Label,Feature 4 Value,Feature 5 Label,Feature 5 Value,Feature 6 Label,Feature 6 Value,Applications,Support Link 1 Title,Support Link 1 URL,Support Link 1 Icon,Support Link 2 Title,Support Link 2 URL,Support Link 2 Icon,Support Link 3 Title,Support Link 3 URL,Support Link 3 Icon,Support Link 4 Title,Support Link 4 URL,Support Link 4 Icon,Support Link 5 Title,Support Link 5 URL,Support Link 5 Icon,Support Link 6 Title,Support Link 6 URL,Support Link 6 Icon,Enable Buyer Note,Visibility,Brand,Category,Product URL Slug,SEO Meta Title,SEO Meta Description,SKU,Product ID
HIWIN E2 Self Lubricating Ballscrew,Reliable and high-performance E2 Self Lubricating Ballscrew from HIWIN.,2500,3000,E2-Self-Lubricating-Ballscrew.jpg,,Maintenance period,3~6 months,Oil consumption,5~10 km / c.c.,Ambient temperature range,-10~60 ℃,,,,,,,,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN EL Self Lubricating Ballscrew,Reliable and high-performance EL Self Lubricating Ballscrew from HIWIN.,2500,3000,EL-Self-Lubricating-Ballscrew.jpg,,Lubrication mileage,"10,000 km",Excellent compatibility,C0~C10,Fullfill cleanroom class,"class1,000",,,,,,,Automation; Industrial machinery; Semi-conductor equipment; Inspection equipments; Printing machines,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN End Cap Ballscrew,Reliable and high-performance End Cap Ballscrew from HIWIN.,2500,3000,End-Cap-Ballscrew.jpg,,Low noise,↓ 3~5 dB,Maximum Dm-N value up to,"160,000",,,,,,,,,Automation Industry; Industrial machinery,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Heavy Duty Ballscrew,Reliable and high-performance Heavy Duty Ballscrew from HIWIN.,2500,3000,Heavy-Duty-Ballscrew.jpg,,The rated load is greatly improved,2~3 times,Maximum Dm-N value up to,"160,000",Low noise,↓ 5~7 dB,,,,,,,All-Electric injection molding machines; Stamping Presses; Semi-conductor manufacturing equipments; Heavy duty actuators; Forging machines,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN i4.0 BS Intelligent Ballscrew,Reliable and high-performance i4.0 BS Intelligent Ballscrew from HIWIN.,2500,3000,i4.0-BS-Intelligent-Ballscrew.jpg,,Maintain equipment utilization rate,90%,Reduce downtime risk by at least,↓ 25%,Saves lubrication up to,140 ltr/yr,,,,,,,Machine Tools; Semiconductor equipment; Automation equipment; Industrial Machinery,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Internal Circulation Ballscrew,Reliable and high-performance Internal Circulation Ballscrew from HIWIN.,2500,3000,Internal-Circulation-Ballscrew.jpg,,Space-saving,↓ 30~40%,General lead,ratio below 0.5,Maximum Dm-N value up to,"100,000",,,,,,,Automation equipment; Industrial machinery; Semiconductor Equipment; Machine Tools,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Nut Rotating R1 Series,Reliable and high-performance Nut Rotating R1 Series from HIWIN.,2500,3000,Nut-Rotating-R1-Series.jpg,,Smaller nut diameter,↓ 20~30%,High positioning,0 µm backlash,Energy saving,↓ 50%,,,,,,,Semiconductor Equipment; Robots; Wood Processing machines; Laser cutting machines; Transporting equipment,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Nut Rotating R2,Reliable and high-performance Nut Rotating R2 from HIWIN.,2500,3000,Nut-Rotating-R2.jpg,,Smaller nut diameter,↓ 20~30%,High rigidity,↑ 20~30%,High Dust-Proof,50-150 µm,,,,,,,Semiconductor Equipment; Robots; Wood Processing machines; Laser cutting machines; Transporting equipment,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Super Ballscrew,Reliable and high-performance Super Ballscrew from HIWIN.,2500,3000,Super-Ballscrew.jpg,,Low noise,↓ 3~5 dB,Maximum Dm-N value up to,"160,000",Acceleration,1.5 G,,,,,,,CNC Machine Tools; Precision Tooling Machines; Industrial Machinery; Electronic Machinery; High Speed Machinery,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN Super S Ballscrew,Reliable and high-performance Super S Ballscrew from HIWIN.,2500,3000,Super-S-Ballscrew.jpg,,Low noise,↓ 5~7 dB,Space-saving and lightweight design,↓ 18~32%,Maximum Dm-N value up to,"220,000",,,,,,,CNC Machine Tools; Precision Tooling Machines; Industrial Machinery; Electronic Machinery; High Speed Machinery,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
